anio_insc;prov_insc;cau_div;dur_mat;edad_hom;p_etnica_hom;niv_insth;area_resh;edad_muj;p_etnica_muj;niv_instm;area_resm
1;Guayas;ABANDONO;21;53;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;15;35;6;3;1;3;6;3;11
1;Guayas;ABANDONO;35;58;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;7;27;6;1;1;1;6;3;11
1;Guayas;MUTUO ACUERDO;7;26;6;10;1;10;6;1;11
1;Guayas;ABANDONO;9;31;6;3;1;3;6;3;11
1;Guayas;ABANDONO;33;55;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;7;32;6;3;1;3;6;1;11
1;Guayas;ABANDONO;8;37;6;3;1;3;6;3;11
1;Guayas;ABANDONO;21;46;6;3;1;3;5;3;11
1;Guayas;ABANDONO;6;37;6;3;1;3;6;1;11
1;Guayas;MUTUO ACUERDO;0;67;7;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;19;46;6;4;1;4;6;3;11
1;Guayas;MUTUO ACUERDO;14;33;6;4;1;4;6;3;11
1;Guayas;MUTUO ACUERDO;15;34;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;14;46;6;4;1;4;6;4;11
1;Guayas;MUTUO ACUERDO;40;62;6;4;1;4;6;11;11
1;Manabí;MUTUO ACUERDO;26;47;6;10;0;10;6;1;11
